ID,Type,Name,RA,Dec,VLSR,VGSR,VLGSR,FWHM,MajAxis,MinAxis,PA,Size,TPeak,NHI,Flux,GNAME
164,XHVC,337.7-13.9-101,267.8,-55.0166666667,-101,-182,-244,36,0.6,0.2,60,0.66,0.72,0.48,123.2,
165,XHVC,338.4-15.2-112,270.25,-54.9833333333,-112,-190,-251,42,0.2,0.2,70,2.4,1.93,1.56,693.1,
166,XHVC,338.7-19.9-092,278.1,-56.5333333333,-92,-167,-223,43,0.2,0.2,55,0.79,0.6,0.52,109.8,
167,XHVC,340.3+08.0-120,244.125,-39.5666666667,-120,-194,-270,39,0.2,0.2,80,1.82,1.59,1.13,301.9,
168,XHVC,340.3-20.7-087,280.375,-55.3833333333,-87,-156,-211,36,0.2,0.2,-11,1.3,0.74,0.5,191.7,
169,XHVC,342.0-13.9-102,270.85,-51.2666666667,-102,-168,-229,40,0.6,0.5,72,3.36,0.92,0.94,765.0,
170,XHVC,343.8+03.2+133,251.75,-40.2333333333,133,72,-1,37,0.6,0.2,-60,0.42,0.37,0.23,38.2,
171,GLXY,343.9-50.2+120,330.675,-51.3,120,81,63,84,0.1,0.1,22,0.27,0.93,1.41,100.8,IC5152
172,XHVC,344.6+06.2-136,249.5,-37.6833333333,-136,-194,-268,35,0.5,0.2,-20,0.92,1.1,0.86,190.5,
173,XHVC,344.9-01.4+120,257.475,-42.3166666667,120,62,-7,35,0.3,0.3,-26,0.58,0.54,0.31,49.5,
174,XHVC,345.5+23.8-098,235.775,-24.5833333333,-98,-148,-226,34,1.2,0.2,87,3.51,0.8,0.5,400.8,
175,XHVC,348.5-76.8+103,1.25,-35.8666666667,103,93,111,43,0.2,0.2,57,1.14,0.99,0.81,224.9,
176,XHVC,348.6+34.7-086,230.275,-14.6166666667,-86,-121,-198,40,0.2,0.2,33,0.9,0.3,0.22,63.3,
177,XHVC,348.9+26.0-090,236.65,-20.8666666667,-90,-128,-204,40,0.2,0.2,-52,0.4,0.22,0.16,25.7,
178,XHVC,350.6+27.9-086,236.375,-18.4166666667,-86,-117,-194,35,0.3,0.2,-31,2.29,0.86,0.66,299.3,
179,XHVC,351.6+11.8-132,249.9,-28.8666666667,-132,-163,-236,38,0.6,0.3,-88,0.85,0.29,0.24,68.8,
180,XHVC,352.3-81.2-089,4.95,-32.6166666667,-89,-94,-69,41,0.6,0.5,79,15.74,3.94,3.46,7633.2,
181,XHVC,352.9-77.9+104,1.6,-34.4833333333,104,98,118,38,0.4,0.3,60,1.97,0.87,0.69,349.8,
182,XHVC,353.7+32.9-091,234.7,-12.9833333333,-91,-111,-185,39,0.2,0.2,39,2.16,0.35,0.27,184.8,
183,XHVC,354+09-103    ,254.1,-28.8166666667,-103,-126,-197,43,17.7,17.4,53,0.68,0.2,0.23,38.3,
184,XHVC,355+00+097    ,263.025,-32.9666666667,97,78,13,65,3.8,1.0,-39,1.19,20.96,16.32,5760.2,
185,XHVC,355.7+37.9-083,232.25,-8.3166666667,-83,-96,-169,61,0.2,0.1,37,1.67,0.34,0.23,94.9,
186,XHVC,355.7+20.4-099,245.5,-20.2166666667,-99,-115,-188,27,0.4,0.2,-27,0.83,0.31,0.18,59.4,
187,XHVC,356.7+05.2-114,259.375,-28.8,-114,-127,-194,39,0.8,0.4,-48,1.93,0.85,0.54,402.6,
188,XHVC,357.2-62.2-088,343.125,-40.2333333333,-88,-93,-92,44,0.7,0.2,-29,0.63,0.61,0.54,99.8,
189,XHVC,358.2+06.0-098,259.6,-27.1666666667,-98,-104,-171,35,0.8,0.3,-85,1.78,0.7,0.46,236.4,
190,XHVC,359.6-62.3-088,342.8,-39.1166666667,-88,-89,-87,34,0.8,0.3,80,0.48,0.32,0.22,46.8,
